Serial_No,Report_Name,Reporting_Data_attribute,Data_Attributes_contributing_to_reporting_attributes,Row_Code,Column_Code,Measure,Source,Tab,Sub_part,Mart,Mart_Logic,SQL_Query,Frequency
24,Schedule V,Loan Sanctions,2.3-Non-housing Loans to others (excluding 2.1 and 2.2 above),R1292,C200,No. of accounts,Mart,part-1,Part-1A,Sanction_period_mart_V1,"(populate count(Loan_no_new) where, Product_NHB = 'Other Loan') - (Sr. no 13 + Sr. no 19)","SELECT     (total_other_loan - individual_other_loan - corporate_other_loan) AS FINAL_OUTPUT FROM (SELECT (SELECT COUNT(Loan_number_new)  FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1  WHERE PRODUCT_NHB = 'OTHER LOAN'  AND REPORT_DATE IN ({{report_dates}})) AS total_other_loan,(SELECT COUNT(Loan_number_new)  FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1  WHERE Customer_type = 'INDIVIDUAL'  AND PRODUCT_NHB = 'OTHER LOAN'  AND REPORT_DATE IN ({{report_dates}})) AS individual_other_loan,(SELECT COUNT(Loan_number_new)  FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1  WHERE Customer_type = 'CORPORATE'  AND PRODUCT_NHB = 'OTHER LOAN'  AND REPORT_DATE IN ({{report_dates}})) AS corporate_other_loan );",monthly
36,Schedule V,Loan Sanctions,1.3-Housing Loans to others (excluding 1.1 and 1.2 above),R1279,C201,Gross carrying amount (Note-2),Mart,part-1,Part-1A,Sanction_period_mart_V1,"(populate sum(HL_Bifur_of_sanction_amt) where, Product_NHB <> 'Other Loan') - (Sr. No 27 + Sr.No 33)","SELECT 
    SUM(CASE 
        WHEN COALESCE(TRIM(UPPER(Product_NHB)),'NULL') <> 'OTHER LOAN' 
        THEN HL_bifur_of_Sanction_amt 
        ELSE 0 
    END)
    -
    (COALESCE(SUM(CASE
        WHEN Customer_type = 'INDIVIDUAL'
            AND TRIM(UPPER(Product_NHB)) IN ('PURCHASE', 'CONSTRUCTION')
            AND CRE_RH_Tagging IS NULL
        THEN HL_bifur_of_Sanction_amt
        ELSE 0
    END), 0) +
    COALESCE(SUM(CASE
        WHEN Customer_type = 'INDIVIDUAL'
            AND TRIM(UPPER(Product_NHB)) = 'RESALE PROPERTY PURCHASE'
        THEN HL_bifur_of_Sanction_amt
        ELSE 0
    END), 0) +
    COALESCE(SUM(CASE
        WHEN Customer_type = 'INDIVIDUAL'
            AND TRIM(UPPER(Product_NHB)) = 'REPAIR AND RENOVATION LOAN'
        THEN HL_bifur_of_Sanction_amt
        ELSE 0
    END), 0))
    AS FINAL_OUTPUT
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
WHERE Report_Date IN ({{report_dates}});",monthly
49,Schedule V,Loan Sanctions,2.3-Non-housing Loans to others (excluding 2.1 and 2.2 above),R1292,C201,Gross carrying amount (Note-2),Mart,part-1,Part-1A,Sanction_period_mart_V1,"(populate sum(NHL_bifur_of_Sanction_amt)   where, Product_NHB = 'Other Loan') - (Sr. no 38 + Sr. no 44)","SELECT 
    SUM(
        CASE 
            WHEN COALESCE(Customer_type,'NULL') NOT IN ('INDIVIDUAL', 'CORPORATE') 
            THEN NHL_bifur_of_Sanction_amt 
            ELSE 0 
        END
    ) AS FINAL_OUTPUT
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
WHERE UPPER(TRIM(Product_NHB)) = 'OTHER LOAN'
AND Report_Date IN ({{report_dates}});",monthly
111,Schedule V,Loan Sanctions,1.3-Housing Loans to others (excluding 1.1 and 1.2 above),R1279,C204,No. of accounts,Mart,part-1,Part-1A,Sanction_period_mart_V1,"(populate count(Loan_no_new) where, Product_NHB <> 'Other Loan') - (Sr. No 102 + Sr.No 108)
","SELECT 
    (

        SELECT COUNT(Loan_number_new) 
        FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
        WHERE Product_NHB <> 'OTHER LOAN'
        AND Report_Date IN ({{report_dates}})
    ) 
    - 
    (
        (

     SELECT COUNT(Loan_number_new) 
            FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
            WHERE Customer_type = 'INDIVIDUAL'
            AND CRE_RH_Tagging IS NULL
            AND PRODUCT_NHB IN ('Purchase', 'Construction')
            AND Report_Date IN ({{report_dates}})
        )
        +
        (

            SELECT COUNT(Loan_number_new) 
            FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
            WHERE Customer_type = 'INDIVIDUAL'
            AND PRODUCT_NHB = 'Resale Property Purchase'
            AND Report_Date IN ({{report_dates}})
        )
        +
        (

            SELECT COUNT(Loan_number_new) 
            FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
            WHERE Customer_type = 'INDIVIDUAL'
            AND PRODUCT_NHB = 'Repair and Renovation Loan'
            AND Report_Date IN ({{report_dates}})
        )
    )
    -
    (

        SELECT COUNT(Loan_number_new) 
        FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
        WHERE Product_NHB <> 'OTHER LOAN'
        AND CRE_RH_Tagging IS NOT NULL
        AND Report_Date IN ({{report_dates}})
    ) AS FINAL_OUTPUT;",monthly
124,Schedule V,Loan Sanctions,2.3-Non-housing Loans to others (excluding 2.1 and 2.2 above),R1292,C204,No. of accounts,Mart,part-1,Part-1A,Sanction_period_mart_V1,"(populate count(Loan_no_new) where, Product_NHB = 'Other Loan') - (Sr. no 113 + Sr. no 119)","SELECT 
    (

        SELECT COUNT(Loan_number_new) 
        FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
        WHERE Product_NHB = 'OTHER LOAN'
        AND Report_Date IN ({{report_dates}})
    ) 
    - 
    (

        SELECT COUNT(Loan_number_new) 
        FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
        WHERE Product_NHB = 'OTHER LOAN'
        AND Customer_type = 'INDIVIDUAL'
        AND Report_Date IN ({{report_dates}})
    )
    -
    (

        SELECT COUNT(Loan_number_new) 
        FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
        WHERE Product_NHB = 'OTHER LOAN'
        AND Customer_type = 'CORPORATE'
        AND Report_Date IN ({{report_dates}})
    ) AS FINAL_OUTPUT;",monthly
136,Schedule V,Loan Sanctions,1.3-Housing Loans to others (excluding 1.1 and 1.2 above),R1279,C205,Gross carrying amount (Note-2),Mart,part-1,Part-1A,Sanction_period_mart_V1,"(populate sum(HL_Bifur_of_sanction_amt) where, Product_NHB <> 'Other Loan') - (Sr. No 127 + Sr.No 133)","SELECT 
    (

        SELECT COALESCE(SUM(HL_bifur_of_Sanction_amt), 0)
        FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
        WHERE Product_NHB <> 'OTHER LOAN'
        AND Report_Date IN ({{report_dates}})
    ) 
    - 
    (
        SELECT COALESCE(SUM(HL_bifur_of_Sanction_amt), 0)
        FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
        WHERE Customer_type = 'INDIVIDUAL'
        AND (
            (CRE_RH_Tagging IS NULL AND Product_NHB IN ('Purchase', 'Construction')) OR  -- Sr.No 128
            (Product_NHB = 'Resale Property Purchase') OR                               
            (Product_NHB = 'Repair and Renovation Loan')                            
        )
        AND Report_Date IN ({{report_dates}})
    ) 
    - 
    (

        SELECT COALESCE(SUM(HL_bifur_of_Sanction_amt), 0)
        FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
        WHERE Product_NHB <> 'OTHER LOAN'
        AND CRE_RH_Tagging IS NULL
        AND Customer_type <> 'INDIVIDUAL' 
        AND Report_Date IN ({{report_dates}})
    ) AS FINAL_OUTPUT;",monthly
149,Schedule V,Loan Sanctions,2.3-Non-housing Loans to others (excluding 2.1 and 2.2 above),R1292,C205,Gross carrying amount (Note-2),Mart,part-1,Part-1A,Sanction_period_mart_V1,"(populate sum(NHL_bifur_of_Sanction_amt)   where, Product_NHB = 'Other Loan') - (Sr. no 138 + Sr. no 144)","SELECT 
    (

        SELECT COALESCE(SUM(NHL_bifur_of_Sanction_amt), 0)
        FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
        WHERE Product_NHB = 'OTHER LOAN'
        AND Report_Date IN ({{report_dates}})
    ) - 
    (

        SELECT COALESCE(SUM(NHL_bifur_of_Sanction_amt), 0)
        FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
        WHERE Product_NHB = 'OTHER LOAN'
        AND Customer_type = 'INDIVIDUAL'
        AND Report_Date IN ({{report_dates}})
    ) - 
    (

        SELECT COALESCE(SUM(NHL_bifur_of_Sanction_amt), 0)
        FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
        WHERE Product_NHB = 'OTHER LOAN'
        AND Customer_type = 'CORPORATE'
        AND Report_Date IN ({{report_dates}})
    ) AS FINAL_OUTPUT;",monthly
161,Schedule V,Loan Disbursements,1.3-Housing Loans to others (excluding 1.1 and 1.2 above),R1304,C206,No. of accounts,Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"(populate countof distinct(Loan_no_new) where, Product_NHB <> 'Other Loan') - (Sr. No 152 + Sr.No 158)
","SELECT (
        SELECT COUNT(DISTINCT(Loan_number_new))
        FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
        WHERE Product_NHB <> 'OTHER LOAN'
        AND Report_Date IN ({{report_dates}})
    ) 
    - 
    (

        (
            SELECT COUNT(DISTINCT(Loan_number_new))
            FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
            WHERE Customer_type = 'INDIVIDUAL'
            AND CRE_RH_Tagging IS NULL
            AND PRODUCT_NHB IN ('Purchase', 'Construction')
            AND Report_Date IN ({{report_dates}})
        )
        +
        (
            SELECT COUNT(DISTINCT(Loan_number_new))
            FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
            WHERE Customer_type = 'INDIVIDUAL'
            AND PRODUCT_NHB = 'Resale Property Purchase'
            AND Report_Date IN ({{report_dates}})
        )
        +
        (
            SELECT COUNT(DISTINCT(Loan_number_new))
            FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
            WHERE Customer_type = 'INDIVIDUAL'
            AND PRODUCT_NHB = 'Repair and Renovation Loan'
            AND Report_Date IN ({{report_dates}})
        )
    )
    -
    (

        SELECT COUNT(DISTINCT(Loan_number_new))
        FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
        WHERE Product_NHB <> 'OTHER LOAN'
        AND CRE_RH_Tagging IS NOT NULL
        AND Report_Date IN ({{report_dates}})
    ) AS FINAL_OUTPUT;",monthly
174,Schedule V,Loan Disbursements,2.3-Non-housing Loans to others (excluding 2.1 and 2.2 above),R1317,C206,No. of accounts,Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"(populate count of distinct(Loan_no_new) where, Product_NHB = 'Other Loan') - (Sr. no 163 + Sr. no 169)","SELECT 
    (
    
        SELECT COUNT(DISTINCT LOAN_NUMBER_NEW) 
        FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
        WHERE Product_NHB = 'OTHER LOAN'
        AND Report_Date IN ({{report_dates}})
    ) 
    - 
    (
   
        SELECT COUNT(DISTINCT LOAN_NUMBER_NEW)
        FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
        WHERE Customer_type = 'INDIVIDUAL'
        AND Product_NHB = 'OTHER LOAN'
        AND Report_Date IN ({{report_dates}})
    )
    -
    (
   
        SELECT COUNT(DISTINCT Loan_number_new)
        FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
        WHERE Customer_type IN ('BUILDER', 'CORPORATE')
        AND Product_NHB = 'OTHER LOAN'
        AND Report_Date IN ({{report_dates}})
    ) AS FINAL_OUTPUT;",monthly
186,Schedule V,Loan Disbursements,1.3-Housing Loans to others (excluding 1.1 and 1.2 above),R1304,C207,Gross carrying amount (Note-2),Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"(populate sum(HL_Bifur_of_disb_amt) where, Product_NHB <> 'Other Loan') - (Sr. No 177 + Sr.No 183)","SELECT 
   
    SUM(CASE 
        WHEN Product_NHB <> 'OTHER LOAN' THEN HL_Bifur_of_disb_amt 
        ELSE 0 
    END)
    
  
    - SUM(CASE 
        WHEN Customer_type = 'INDIVIDUAL'
             AND CRE_RH_Tagging IS NULL
             AND Product_NHB IN ('Purchase', 'Construction') 
        THEN HL_Bifur_of_disb_amt 
        ELSE 0 
    END)
    - SUM(CASE 
        WHEN Customer_type = 'INDIVIDUAL'
             AND Product_NHB = 'Resale Property Purchase' 
        THEN HL_Bifur_of_disb_amt 
        ELSE 0 
    END)
    - SUM(CASE 
        WHEN Customer_type = 'INDIVIDUAL'
             AND Product_NHB = 'Repair and Renovation Loan' 
        THEN HL_Bifur_of_disb_amt 
        ELSE 0 
    END)

   
    - SUM(CASE 
        WHEN Product_NHB <> 'OTHER LOAN'
             AND CRE_RH_Tagging IS NOT NULL 
        THEN HL_Bifur_of_disb_amt 
        ELSE 0 
    END)

AS HL_Disbursements_Others
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Report_Date IN ({{report_dates}});
",monthly
